//keyword song,song id, sound id, sprite id, sound id, block number, max blocks

song, 0, 108, 0, 0, 4
song, 0, 107, 1, 1, 4
song, 0, 107, 2, 2, 4
song, 0, 109, 3, 3, 4

song, 1, 110, 4, 0, 4
song, 1, 108, 5, 1, 4
song, 1, 106, 6, 2, 4
song, 1, 109, 7, 3, 4

song, 2, 108, 8, 0, 4
song, 2, 108, 9, 1, 4
song, 2, 108, 10, 2, 4
song, 2, 107, 11, 3, 4

song, 3, 107, 12, 0, 4
song, 3, 106, 13, 1, 4
song, 3, 108, 14, 2, 4
song, 3, 107, 15, 3, 4

song, 4, 110, 16, 0, 4
song, 4, 106, 17, 1, 4
song, 4, 108, 18, 2, 4
song, 4, 107, 19, 3, 4

song, 5, 109, 20, 0, 4
song, 5, 109, 21, 1, 4
song, 5, 107, 22, 2, 4
song, 5, 109, 23, 3, 4

song, 6, 107, 24, 0, 4
song, 6, 106, 25, 1, 4
song, 6, 106, 26, 2, 4
song, 6, 107, 27, 3, 4

song, 7, 109, 28, 0, 4
song, 7, 107, 29, 1, 4
song, 7, 107, 30, 2, 4
song, 7, 108, 31, 3, 4

song, 8, 107, 32, 0, 4
song, 8, 107, 33, 1, 4
song, 8, 106, 34, 2, 4
song, 8, 108, 35, 3, 4

song, 9, 107, 36, 0, 4
song, 9, 109, 37, 1, 4
song, 9, 108, 38, 2, 4
song, 9, 109, 39, 3, 4

song, 10, 110, 40, 0, 4
song, 10, 107, 41, 1, 4
song, 10, 108, 42, 2, 4
song, 10, 106, 43, 3, 4

song, 11, 109, 44, 0, 4
song, 11, 108, 45, 1, 4
song, 11, 110, 46, 2, 4
song, 11, 106, 47, 3, 4

song, 12, 110, 48, 0, 4
song, 12, 108, 49, 1, 4
song, 12, 107, 50, 2, 4
song, 12, 107, 51, 3, 4

song, 13, 108, 52, 0, 4
song, 13, 107, 53, 1, 4
song, 13, 110, 54, 2, 4
song, 13, 107, 55, 3, 4

song, 14, 106, 56, 0, 4
song, 14, 107, 57, 1, 4
song, 14, 108, 58, 2, 4
song, 14, 110, 59, 3, 4

song, 15, 108, 60, 0, 4
song, 15, 108, 61, 1, 4
song, 15, 109, 62, 2, 4
song, 15, 109, 63, 3, 4

song, 16, 109, 64, 0, 4
song, 16, 109, 65, 1, 4
song, 16, 110, 66, 2, 4
song, 16, 107, 67, 3, 4

song, 17, 108, 68, 0, 4
song, 17, 108, 69, 1, 4
song, 17, 109, 70, 2, 4
song, 17, 107, 71, 3, 4

song, 18, 108, 72, 0, 4
song, 18, 108, 73, 1, 4
song, 18, 109, 74, 2, 4
song, 18, 108, 75, 3, 4

song, 19, 108, 76, 0, 4
song, 19, 108, 77, 1, 4
song, 19, 107, 78, 2, 4
song, 19, 108, 79, 3, 4

